título,descripción,categoría,subcategoría,edad,edad_min,edad_max,inscripción,requiere_inscripcion,periodicidad,día_días,horario,hora_inicio,hora_fin,fecha,fecha_inicio,fecha_fin,lugar_nombre,lugar_dirección,ciudad,distrito,precio,precio_valor,recomendación,recomendado,url_ampliar_info,tiene_url_info,url_imagen,tiene_url_imagen,url_actividad
Teatro en familia,Taller de teatro.,Cultura y Espectáculos,Talleres. Teatro Infantil,para mayores de 5 años,5,18,No especificada,,,viernes,a las 17:30 horas,17:30,,Viernes 9 de mayo de 2025,09/05/2025,09/05/2025,Centro de Educación Ambiental y Cultural Maris Stella (Usera),"CALLE DOCTOR TOLOSA LATOUR, 16 MADRID",Madrid,Usera,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-de-Educacion-Ambiental-y-Cultural-Maris-Stella/?vgnextfmt=default&vgnextoid=4e25ce5179e61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Usera/ProgramacionCulturalUsera/MarisStella/ficheros/0524_Teatro_Familia.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Teatro-en-familia/?vgnextfmt=default&vgnextoid=42accbdaa1266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Oliverio Satisfecho, el mago",Compañía: Oliverio Satisfecho,Cultura y Espectáculos,Teatro Infantil,con más de 20 años de experiencia,,,No especificada,,,viernes,a las 18:30 horas,18:30,,Viernes 9 de mayo de 2025,09/05/2025,09/05/2025,Centro Sociocultural Francisco Fatou (Villa de Vallecas),"CALLE MANUEL VELEZ, 10 MADRID",Madrid,Villa de Vallecas,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-Sociocultural-Francisco-Fatou/?vgnextfmt=default&vgnextoid=c70fe07d5bf61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/VillaVallecas/Actividades/ficheros/1005Oliveiro.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Oliverio-Satisfecho-el-mago/?vgnextfmt=default&vgnextoid=2118b89a0b766910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
¿Hay alguien más aburrido que yo?,"Una historia divertida y tierna sobre el poder de la imaginación, la creatividad, y el vínculo entre generaciones.",No especificada,No especificada,a partir de 6 años,6,18,"Para asistir es necesario realizar inscripción previa, del 8 de abril al 9 de mayo, a través de este enlace.. Para asistir es necesario realizar inscripción previa, del 8 de abril al 9 de mayo, a través de este enlace.",True,,viernes,a las 18 horas,18:00,,Viernes 9 de mayo de 2025,09/05/2025,09/05/2025,Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal),"CALLE ASCAO, 4 MADRID",Madrid,Ciudad Lineal,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-5-al-11-de-mayo/?vgnextfmt=default&vgnextoid=6caba32d985f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/Actividades/Actividades_Infantiles_Juveniles/Cuentacuentos/ficheros/250509_Aburrido_260x260.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Hay-alguien-mas-aburrido-que-yo-/?vgnextfmt=default&vgnextoid=3495dd4357a16910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
A la mar salada,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Magia,a partir de 2 años,2,18,Para asistir es necesario realizar inscripción previa a través de este enlace.,True,,viernes,a las 18 horas,18:00,,Viernes 9 de mayo de 2025,09/05/2025,09/05/2025,Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal),"CALLE HERMANOS GARCIA NOBLEJAS, 14 MADRID",Madrid,Ciudad Lineal,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-5-al-11-de-mayo/?vgnextfmt=default&vgnextoid=6caba32d985f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/Actividades_Infantiles_Juveniles/Cuentos/0_Cuentacuentos/Ficheros_FotosCuentacuentos/Cuentacuento-gato-sobre-libros_260.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/A-la-mar-salada/?vgnextfmt=default&vgnextoid=366f468e9b336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller castizo,"Durante esta divertida experiencia, los pequeños podrán conocer y disfrutar de las tradiciones más castizas. Una excelente oportunidad para aprender sobre la cultura mientras se divierte en un ambiente creativo y dinámico.",Cultura y Espectáculos,Talleres,a partir de 5 años,5,18,No especificada,,,viernes,a las 18 horas,18:00,,Viernes 9 de mayo de 2025,09/05/2025,09/05/2025,Centro Sociocultural Blasco Ibáñez (Carabanchel),"CALLE SOLDADO JOSE MARIA REY, 44 MADRID",Madrid,Carabanchel,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/San-Isidro-en-Carabanchel/?vgnextfmt=default&vgnextoid=e8a2cd0e24b76910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Carabanchel/ficheros/Tallercastizo.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-castizo/?vgnextfmt=default&vgnextoid=1cfa4bcad6b76910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Espectáculo infantil musical: ""AÚPA LERE, percusión para crecer""","Cía. Percumento, con Clara Martínez y Antonio Cimadevila.",Cultura y Espectáculos,Música,No especificada,,,No especificada,,,viernes,a las 18 horas,18:00,,Viernes 9 de mayo de 2025,09/05/2025,09/05/2025,Centro Sociocultural Valle Inclán (Fuencarral - El Pardo),"CALLE ARZOBISPO MORCILLO, 7 MADRID",Madrid,Centro,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-Centro-Sociocultural-Valle-Inclan-Fuencarral-El-Pardo-Mayo-2025/?vgnextfmt=default&vgnextoid=42d7e0e00419c810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,No disponible,False,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Espectaculo-infantil-musical-AUPA-LERE-percusion-para-crecer-/?vgnextfmt=default&vgnextoid=68f42d8dae976910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Concierto pedagógico,Lily cuartet.,Cultura y Espectáculos,Conciertos. Música,a partir de 3 años,3,18,No especificada,,,viernes,a las 18:30 horas,18:30,,Viernes 9 de mayo de 2025,09/05/2025,09/05/2025,Centro Cultural Federico Chueca (Hortaleza),"CALLE BENITA AVILA, 23 MADRID",Madrid,Hortaleza,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-Cultural-Federico-Chueca/?vgnextfmt=default&vgnextoid=2896271d2ff12910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Hortaleza/Actividades%20CC/Eventos/ficheros/conc.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Concierto-pedagogico/?vgnextfmt=default&vgnextoid=4872047fc5065910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Manoviva - Girovago & Rondella (Italia),"“Manoviva” comienza con una temática circense, con virtuosismos que cautivan al público, que dan lugar a pequeñas historias donde las palabras son reemplazadas por “símbolos”, un lenguaje universal que toca otra esfera de comprensión generalmente descuidada, historias que crean un diálogo familiar, surrealista como un cuadro de Chagall.",No especificada,No especificada,A lo largo de siete años se formó el teatro familiar Girovago e Rondella,,,No especificada,,,"sábado, domingo",Horario: 18 horas,18:00,,Del sábado 10 de mayo de 2025 al domingo 11 de mayo de 2025,10/05/2025,11/05/2025,Teatro Municipal de Títeres. Parque de El Retiro,"AVENIDA MÉXICO, 4 (Parque de El Retiro. Entrada por Puerta de la Independencia) 28009 MADRID",Madrid,Retiro,Gratuito,0.0,Recomendado para niñas y niños,True,No disponible,False,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/ActividadesPorEntidades/TeatroTiteres/ficheros/1205Manoviva.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Manoviva-Girovago-Rondella-Italia-/?vgnextfmt=default&vgnextoid=5c60ab4f96f85910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Asalto a la lectura. Animales grandes,ANIMALES GRANDES con Carmen García Iglesias.,Aire Libre. Cultura y Espectáculos,Actividades con animales. Club de lectura,Anya tiene doce años pero es tan valiente que junto a un tigre blanco irá a descubrir el misterio de los niños desaparecidos,,,No especificada,,,sábado,a las 11 horas,11:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Cultural Clara del Rey - Museo ABC (Centro),"CALLE AMANIEL, 29 28015 MADRID",Madrid,Centro,Gratuito,0.0,Recomendado para niñas y niños,True,No disponible,False,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Centro/ActividadesCC/ficheros/animales.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Asalto-a-la-lectura-Animales-grandes/?vgnextfmt=default&vgnextoid=820e5f0dcc336910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Cuento: Maxi, el petirrojo sensible de la Dehesa de la Villa","Os invitamos a conocer a Maxi, un petirrojo muy sensible que habita en la Dehesa de la Villa y nos contará cómo es su vida en nuestro parque junto con el resto de las especies que lo habitan. Un cuento de Rosario Jiménez Echenique.",Aire Libre,Parques y jardines,a partir 5 años,5,18,No especificada,,,sábado,a las 11 horas,11:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro de Información y Educación Ambiental de Dehesa de la Villa,"PARQUE DEHESA DE LA VILLA, (ACCESO POR C/ FRANCOS RODRÍGUEZ FRENTE AL INSTITUTO VIRGEN DE LA PALOMA) 28039 MADRID",Madrid,Centro,Gratuito,0.0,Recomendado para niñas y niños,True,No disponible,False,https://www.madrid.es/UnidadesDescentralizadas/Educacion_Ambiental/EspecialesInformativos/HabitatMadridActividadesAmbientales/ActividadesDehesaVilla/FicherosActividades/ActivCuentoMaxiPetirrojoDehesa.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuento-Maxi-el-petirrojo-sensible-de-la-Dehesa-de-la-Villa/?vgnextfmt=default&vgnextoid=7718a9e609756910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Érase casi una vez,Compañía: Asociación teatral terra teatro.,Cultura y Espectáculos,Teatro Infantil,mayores de 5 años,5,18,No especificada,,,sábado,a las 12 horas,12:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Cultural Orcasur (Usera),"PLAZA PUEBLO, 2 MADRID",Madrid,Usera,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-del-Centro-Cultural-Orcasur/?vgnextfmt=default&vgnextoid=8e7d2d24e6f61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Usera/ProgramacionCulturalUsera/ficheros/1105_Erase_Casi.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Erase-casi-una-vez/?vgnextfmt=default&vgnextoid=eaa003a1c2d56910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
La edad de hielo,Compañía: Ciencia Divertida.,Cultura y Espectáculos,Teatro Infantil,mayores de 3 años,3,18,No especificada,,,sábado,a las 12 horas,12:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Sociocultural San Fermín (Usera),"CALLE ESTAFETA, 33 MADRID",Madrid,Usera,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-Sociocultural-San-Fermin/?vgnextfmt=default&vgnextoid=dd5d2d24e6f61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Usera/ProgramacionCulturalUsera/ficheros/1105_Edad_Hielo.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-edad-de-hielo/?vgnextfmt=default&vgnextoid=486303a1c2d56910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Be Kind Remind: Taller infantil de creación audiovisual y archivo,"Be Kind, Remind es un taller diseñado para niñas y niños de 6 a 8 años y de 9 a 12 años, en el que, de la mano de la cineasta Camila de Lucas y el crítico de cine Javier Rodríguez, se explorará el archivo como herramienta creativa a través del juego y la experimentación. Los participantes trabajarán con imágenes preexistentes, descubriendo cómo el reciclaje audiovisual puede transformarse en una nueva forma de expresión y narración.",Cultura y Espectáculos,Proyecciones. Talleres,de 6 a 8 años,6,8,No especificada,,,"sábado, domingo",30 horas,,,Del sábado 10 de mayo de 2025 al domingo 11 de mayo de 2025,10/05/2025,11/05/2025,Cineteca Madrid,"PLAZA LEGAZPI, 8 28045 MADRID",Madrid,,No especificado,,No especificado,True,No disponible,False,https://www.madrid.es/UnidadWeb/UGBBDD/MadridDestino/ficheros/MADRID_DESTINO_169589_es.jpeg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Be-Kind-Remind-Taller-infantil-de-creacion-audiovisual-y-archivo/?vgnextfmt=default&vgnextoid=fc307ad544266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
La Maga,Teatro infantil.,Cultura y Espectáculos,Teatro Infantil,de 3 a 10 años,3,10,No especificada,,,sábado,a las 12 horas,12:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Cultural Mercado de Ibiza (Retiro),"CALLE IBIZA, 8 PLANTA 1ª 28009 MADRID",Madrid,Retiro,Gratuito,0.0,Recomendado para niñas y niños,True,No disponible,False,https://www.madrid.es/UnidadesDescentralizadas/DistritoRetiro/FICHEROS/FICHEROS%20ACTIVIDADES%20MAYO/La_maga-001.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-Maga/?vgnextfmt=default&vgnextoid=b7d50865ba666910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
El flautista de Hamelín,"La ciudad de Hamelin es una ciudad triste, no conoce la alegría, ni el color, pues la música, la pintura y la poesía están prohibidos. En Hamelin solo se puede trabajar, la fiesta y la divertida convivencia están prohibidas. Por eso es la ciudad ideal para las ratas, que invaden la ciudad porque eso es lo que les gusta a ellas, la oscuridad y la tristeza. Las ratas lo han llenado todo y sólo la magia de la música será capaz de eliminarlas.",Cultura y Espectáculos,Magia. Música,No especificada,,,No especificada,,,sábado,a las 19 horas,19:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Parque de Amós Acero,"CALLE SIERRA MOLINA, 1 MADRID",Madrid,,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Calle-abierta-infantil/?vgnextfmt=default&vgnextoid=6ef0157f943cf810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/PuenteVallecas/Actividades/ficheros/0106Cai.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-flautista-de-Hamelin/?vgnextfmt=default&vgnextoid=f8691dc120866910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
The cook and the king,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,a partir de 5 años,5,18,Para asistir es necesaria la inscripción a través de este enlace.,True,,sábado,a las 12 horas,12:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Biblioteca Pública Municipal Iván de Vargas (Centro),"CALLE SAN JUSTO, 5 MADRID",Madrid,Centro,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-en-ingles/?vgnextfmt=default&vgnextoid=dd4e284aeea67810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/Actividades_Infantiles_Juveniles/Cuentos/0_Cuentacuentos/Ficheros_FotosCuentacuentos/Cuentacuentos-peques-mirando-libro(foto)_260.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/The-cook-and-the-king/?vgnextfmt=default&vgnextoid=5b9faa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
El baúl del Abuelo,,No especificada,No especificada,Recomendado para niñas y niños a partir de cuatro años,,,No especificada,,,sábado,a las 19 horas,19:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Cultural El Plantío (Moncloa - Aravaca),"CALLE JOSE LOMBANA IGLESIAS, 4 28023 MADRID",Madrid,Centro,Gratuito,0.0,Recomendado para niñas y niños,True,No disponible,False,https://www.madrid.es/UnidadesDescentralizadas/DistritoMoncloaAravaca/Actividades/2025/05Mayo2025/Carteleria/LA%20CHISTERA%20PRODUCCIONES.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-baul-del-Abuelo/?vgnextfmt=default&vgnextoid=e72675ea42c76910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"CICLO BEBÉS. Teatro Tyl Tyl, presenta “Tylito”","Concierto teatralizado para un público activo en la percepción y la escucha, pero también en la participación de la primera infancia. El sonido, la música y las canciones impulsan el deseo de vivir la vida con intensidad y alegría. El repertorio es original y está construido a partir de la literatura oral y ritmos cercanos que inviten y contagien el movimiento.",Cultura y Espectáculos,Conciertos. Música. Teatro Infantil,de 0 a 3 años,0,3,No especificada,,,sábado,a las 11 horas,11:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Cultural Príncipe de Asturias (Ciudad Lineal),"CALLE HERMANOS GARCIA NOBLEJAS, 14 MADRID",Madrid,Ciudad Lineal,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-centro-cultural-Principe-de-Asturias-mayo-2025/?vgnextfmt=default&vgnextoid=a7f79e40e2922910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/DistritoCiudadLineal/PROGRAMACIONCULTURAL/2025MAYO/CCPrincipeAsturias/Eventos/ficheros/Tylito.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/CICLO-BEBES-Teatro-Tyl-Tyl-presenta-Tylito/?vgnextfmt=default&vgnextoid=d3ed2d8dae976910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"INFANTIL. Nando Caneca, presenta “UCO, un paisano diferente”","La vida ya no es como era antes y esto es una realidad, mucha gente deja el pueblo y se marcha a la ciudad. Aquí se presenta Uco, un paisano diferente, que ha venido a este puebluco a conocer a su gente. Un espectáculo de circo, magia, humor y teatro gestual inspirado y recreado en el mundo rural.",Cultura y Espectáculos,Circo. Magia. Teatro Infantil,a partir de 5 años,5,18,No especificada,,,sábado,a las 18 horas,18:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Auditorio Carmen Laforet (Ciudad Lineal),"CALLE JAZMIN, 46 MADRID",Madrid,Ciudad Lineal,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Auditorio-Carmen-Laforet-Programacion-mayo-2025/?vgnextfmt=default&vgnextoid=1059ef619aca2910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/DistritoCiudadLineal/PROGRAMACIONCULTURAL/2025MAYO/ACarmenLaforet/Eventos/ficheros/NandoCaneca.png,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/INFANTIL-Nando-Caneca-presenta-UCO-un-paisano-diferente/?vgnextfmt=default&vgnextoid=10a9d5ca38086910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Cuentacuentos - La Flor más Bonita del Mundo,Sin descripción,No especificada,No especificada,No especificada,,,No especificada,,,sábado,a las 11 horas,11:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Cultural Galileo (Chamberí),"CALLE GALILEO, 39 MADRID",Madrid,Chamberí,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Programacion-Cultural-Chamberi/?vgnextfmt=default&vgnextoid=5ea6daba65bc4910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/DistritoChamberi/Actividades/Eventos/ficheros/cuadrado345.JPG,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-La-Flor-mas-Bonita-del-Mundo/?vgnextfmt=default&vgnextoid=8a47525b65b76910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Magia familiar: Magia de risa,A cargo de Alfonso V.,Cultura y Espectáculos,Magia,desde 5 años,5,5,No especificada,,,sábado,a las 12 horas,12:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Sociocultural Rafael de León (Fuencarral - El Pardo),"CALLE ISLA DE ONS, 14 MADRID",Madrid,Centro,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-Centro-Sociocultural-Rafael-de-Leon-Fuencarral-El-Pardo-Mayo-2025/?vgnextfmt=default&vgnextoid=1ffc298e9ad97810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,No disponible,False,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Magia-familiar-Magia-de-risa/?vgnextfmt=default&vgnextoid=efe465783d9d3910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Cuentacuentos en inglés:A world of magic,A cargo de la academia de inglés Kids&Us.,Educación,Idiomas,de 3 a 7 años,3,7,No especificada,,,sábado,a las 18 horas,18:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),"GLORIETA PRADERA DE VAQUERIZAS, 9 MADRID",Madrid,Centro,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-Centro-Cultural-Alfredo-Kraus-Fuencarral-El-Pardo-Mayo-2025/?vgnextfmt=default&vgnextoid=a196a399e519c810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,No disponible,False,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-en-ingles-A-world-of-magic/?vgnextfmt=default&vgnextoid=a4ea9822df145910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
El Monstruo marino,Sin descripción,No especificada,No especificada,a partir de 6 años,6,18,No especificada,,,sábado,a las 12 horas,12:00,,Sábado 10 de mayo de 2025,10/05/2025,10/05/2025,Centro Cultural el Torito (Moratalaz),"AVENIDA MORATALAZ, 130 MADRID",Madrid,Moratalaz,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-infantiles-mayo-de-2025/?vgnextfmt=default&vgnextoid=bc130234de086910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/DistritoMoratalaz/Actividades/2025/Mayo/ficheros/CineTorito100525.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-Monstruo-marino/?vgnextfmt=default&vgnextoid=9ec11f8dd5186910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
